"","cellid","coretype","primary","secondary"
"112","B14042534","Core","L5a Batf3","0"
"113","B14042535","Core","L5a Batf3","0"
"114","B14042536","Transition","L5a Batf3","L5a Pde1c"
"115","B14042537","Core","L5a Batf3","0"
"116","B14042538","Core","L5a Tcerg1l","0"
"117","B14042539","Core","L5a Batf3","0"
"118","B14042540","Core","Astro Aqp4","0"
"119","C01101441","Transition","L4 Scnn1a","L4 Ctxn3"
"120","C01101442","Core","L4 Ctxn3","0"
"121","C01101443","Core","L4 Ctxn3","0"
"122","C01101444","Transition","L4 Ctxn3","L4 Scnn1a"
"123","C01101445","Core","L2/3 Ptgs2","0"
"124","C01101446","Core","L4 Arf5","0"
"125","C01101447","Core","L2/3 Ptgs2","0"
"126","C01101448","Core","L4 Ctxn3","0"
"127","C02061549n","Core","Vip Chat","0"
"128","C02061550n","Core","Astro Aqp4","0"
"129","C02061551n","Core","Astro Aqp4","0"
"130","C02061552n","Core","Astro Aqp4","0"
